#  1: Time(Gyr), 2: M*(Msun), 3: Mdust(Msun), 4: Mdust(Msun) (a<2 nm), 5: Mdust(Msun) (a<50 nm), 6: Mdust(Msun) (a<500 nm), 7: Age(Gyr), 8: SFR (Msun/yr) 9: Averaged Dust size(um), 10: Gas metallicity, 11:Young Star Mass [Msun] (age<10 Myr), 12: Dust half mass radius [kpc], 13: Young star half mass radius [kpc], 14: Old star half mass radius [kpc], 15: Star half mass radius [kpc]
   0.05000 77521359973.51013 178499.95880    3.20099 1324.84488 171643.54480    0.98854    2.24565    0.21848    0.00028 25531200.69206    2.54514    1.78265    0.07638    0.08505
   0.10000 77667555419.47112 371610.57399   15.55150 4228.03492 355361.53387    1.00921    4.02311    0.22349    0.00049 35794593.39380    2.33223    2.56523    0.10450    0.11409
   0.25000 78097015212.36581 2576515.09832 1334.39567 1007231.80554 2491966.65577    1.07197    2.64255    0.13495    0.00116 28932180.25565    1.34064    2.72274    0.18962    0.19546
   0.50000 78772624738.87811 17403696.12503 298671.83457 10540156.42421 17243693.17799    1.20258    2.02776    0.07056    0.00221 19549725.57724    2.92698    2.81689    0.25348    0.25617
   1.00000 79622758467.31871 30321681.61993 1065908.65835 17135818.79812 30070213.85201    1.44606    1.44259    0.07452    0.00347 13017423.45095    3.57803    2.80075    0.32819    0.32983
   2.00000 80727819571.47697 43394195.77881 2088428.08206 20928991.27456 42891232.07855    1.94560    0.96473    0.08992    0.00497 8706692.60621    4.62111    3.15461    0.39759    0.39866
   3.00000 81468870031.60226 49787872.05215 2766064.74654 22768208.66973 49050686.21156    2.45301    0.55647    0.09772    0.00589 5206829.86826    5.27456    3.77166    0.41594    0.41653
   4.00000 81943625211.61873 55074790.38754 3495663.98654 25222570.63538 54088192.52625    2.99386    0.44613    0.10154    0.00666 3779385.70455    5.66107    2.96495    0.47874    0.47924
   5.00000 82311865427.66989 58004803.86131 4120450.11763 27133938.15793 56912722.99737    3.46597    0.37345    0.10050    0.00717 3297328.71614    5.94921    3.25490    0.46587    0.46624
   6.00000 82651372972.38914 60251159.92422 4577805.63738 28460042.90041 59092625.85919    3.98487    0.31596    0.09992    0.00763 3138252.06831    6.39080    3.52765    0.50957    0.51003
   7.00000 82948456729.42882 61907364.21612 5099004.71661 29405875.24790 60720836.86013    4.50764    0.34793    0.09932    0.00802 2993146.65608    6.67160    4.04623    0.55592    0.55632
   8.00000 83201442923.79416 63202208.21218 5490336.15971 29887539.27639 61970682.05802    5.03230    0.20603    0.10026    0.00835 2108753.42600    6.95013    4.63251    0.63545    0.63589
   9.00000 83421748483.99271 64185158.09811 5993458.73343 30659166.33932 62885741.87784    5.55987    0.16718    0.10073    0.00864 1912051.57898    7.25217    3.96658    0.64907    0.64936
  10.00000 83610659794.21835 65030610.75289 6599278.30566 31136282.71967 63659929.90322    6.06342    0.18136    0.10141    0.00889 1571814.76243    7.44145    3.01815    0.78022    0.78048

